benchmark,ins_tlb_miss,ins_page_table_access,data_tlb_miss,data_page_table_access,data_mem_access
4k_429,85,255,16758445920,50275337760,61463968162
4k_456,134,402,643560,1930680,2013251
4k_471,275,825,4172783915,12518351745,17206001952
4mb_429,3,9,426,1278,11164020551
4mb_456,5,15,10,30,83311
4mb_471,6,18,52,156,4689903789

4k_bench_10,114,342,5120020795,15360062385,20481381980
4k_bench_11,114,342,5676022847,17028068541,22661519214
4k_bench_12,114,342,6192024901,18576074703,24721656444
4k_bench_13,114,342,6656026953,19968080859,26625793672
4k_bench_14,114,342,7168029004,21504087012,28673930895
4k_bench_15,114,342,7680031055,23040093165,30722068121
4k_bench_16,114,342,8192033109,24576099327,32770205356
4k_bench_17,114,342,8772035159,26316105477,35022342578
4k_bench_18,114,342,9216037212,27648111636,36866479808
4k_bench_19,114,342,9804039264,29412117792,39142617036
4k_bench_2,114,342,1024004380,3072013140,3072284161
4k_bench_3,114,342,1548006432,4644019296,5668421389
4k_bench_4,114,342,2064008485,6192025455,8240558620
4k_bench_5,114,342,2580010535,7740031605,10300695840
4k_bench_6,114,342,3072012588,9216037764,12288833071
4k_bench_7,114,342,3584014639,10752043917,14336970296
4k_bench_8,114,342,4096016693,12288050079,16385107531
4k_bench_9,114,342,4608018744,13824056232,18433244757
4mb_bench_10,6,18,27,81,5121319680
4mb_bench_11,6,18,30,90,5633450758
4mb_bench_12,5,15,33,99,6145581842
4mb_bench_13,6,18,33,99,6657712913
4mb_bench_14,6,18,36,108,7169843992
4mb_bench_15,6,18,38,114,7681975069
4mb_bench_16,5,15,41,123,8194106163
4mb_bench_17,6,18,42,126,8706237227
4mb_bench_18,5,15,45,135,9218368366
4mb_bench_19,6,18,45,135,9730499380
4mb_bench_2,5,15,13,39,271061
4mb_bench_3,5,15,15,45,1024402147
4mb_bench_4,5,15,16,48,2048533212
4mb_bench_5,5,15,18,54,2560664291
4mb_bench_6,6,18,19,57,3072795366
4mb_bench_7,6,18,21,63,3584926442
4mb_bench_8,5,15,24,72,4097057527
4mb_bench_9,6,18,27,81,4609188605
bench_bigger_4kb,113,339,1025050900,3075152700,4166270431
bench_bigger_4mb,6,18,1026001041,3078003123,4169120846
